experiment	feature_set	domain	class	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std
multiclass_domain	all	student_essays	gemma2_9b	0.9307281437261288	0.006693473460091244	0.9121951219512195	0.009571788716754386	0.9213308326505573	0.005830517299179942
multiclass_domain	all	student_essays	gpt-4o-mini	0.9163027250569593	0.00837719152246964	0.9323461091753775	0.0075385241505142595	0.9242195387030125	0.005556099843228494
multiclass_domain	all	student_essays	human	0.989689898384707	0.003581845491719697	0.9919163763066201	0.003446653671008094	0.9907946569022379	0.002265027688734554
multiclass_domain	information_theoretic	arxiv_papers	gemma2_9b	0.8014817370891893	0.03393733363915869	0.683031914893617	0.034314934582524284	0.7370368987865638	0.028686662409904674
multiclass_domain	information_theoretic	arxiv_papers	gpt-4o-mini	0.7258390457099777	0.02395641986558724	0.8300531914893616	0.03340574566058071	0.7741822982285177	0.02416811181487434
multiclass_domain	information_theoretic	arxiv_papers	human	0.9940943861769733	0.005920238383773597	0.9969148936170212	0.0036399571162187626	0.9954907700141169	0.003517631516595941
multiclass_domain	information_theoretic	blog_authorship_corpus	gemma2_9b	0.47797110424889105	0.016510878366609163	0.6592840768557899	0.03347694343867322	0.5538789748198717	0.019515166507366552
multiclass_domain	information_theoretic	blog_authorship_corpus	gpt-4o-mini	0.6070192338541001	0.01940456430806976	0.7361357946490514	0.025131904874084603	0.6650679654164757	0.016644709723528085
multiclass_domain	information_theoretic	blog_authorship_corpus	human	0.48675067290667046	0.049644100749756906	0.19696362320152022	0.02740674914840604	0.27937029818425524	0.031808019940714784
multiclass_domain	information_theoretic	cnn_news	gemma2_9b	0.541474728156817	0.054072226103315815	0.06916455763453533	0.010629655881675474	0.12242200949285766	0.017401474173547586
multiclass_domain	information_theoretic	cnn_news	gpt-4o-mini	0.5761907053382092	0.00985555174696962	0.8588793311631231	0.014248314234943082	0.6896450001863609	0.010153336350165803
multiclass_domain	information_theoretic	cnn_news	human	0.6078000356477857	0.009440130988248916	0.8392138944968751	0.014748441359327803	0.7049496567727112	0.009803946308325732
multiclass_domain	information_theoretic	euro_court_cases	gemma2_9b	0.5490747479510129	0.041596220326379545	0.2914678899082569	0.0348824986241767	0.3798385436812598	0.03562877106991439
multiclass_domain	information_theoretic	euro_court_cases	gpt-4o-mini	0.5593082098388795	0.017694084238609464	0.7586238532110091	0.028252914909561288	0.6436180266328095	0.017421164758502694
multiclass_domain	information_theoretic	euro_court_cases	human	0.6461739178128226	0.023718005356024526	0.7172935779816514	0.027052908960701994	0.679545671575022	0.020296639888245708
multiclass_domain	information_theoretic	house_of_commons	gemma2_9b	0.7604445228331865	0.03694222144194335	0.29678571428571426	0.021516075146903627	0.42646063448280525	0.024283040061305532
multiclass_domain	information_theoretic	house_of_commons	gpt-4o-mini	0.637212136109827	0.016511472159340818	0.8372321428571429	0.018447119259434642	0.7235270351667803	0.014725432031478069
multiclass_domain	information_theoretic	house_of_commons	human	0.6429003882166862	0.015561831484297132	0.8319642857142857	0.020591081053045645	0.7251456046059933	0.013843654949129324
multiclass_domain	information_theoretic	student_essays	gemma2_9b	0.601325361294535	0.014508625199145317	0.5288385598141696	0.016510513378099424	0.5626436186056916	0.013646747729354309
multiclass_domain	information_theoretic	student_essays	gpt-4o-mini	0.7299901334488814	0.011619964815146948	0.7640418118466898	0.012958216412137721	0.7465439107209297	0.009335444413195578
multiclass_domain	information_theoretic	student_essays	human	0.7277857591853564	0.011365033201362926	0.7811033681765389	0.014182906417633244	0.7534036270570601	0.009321277390019582
multiclass_domain	readability	arxiv_papers	gemma2_9b	0.6248382385410796	0.019706462625411276	0.8161170212765957	0.03579193573639812	0.7073848304670757	0.020461179670255306
multiclass_domain	readability	arxiv_papers	gpt-4o-mini	0.7019388865455026	0.04137729316321273	0.4478191489361702	0.04106086624593021	0.5455494829603077	0.036053169406490865
multiclass_domain	readability	arxiv_papers	human	0.9255392940236239	0.016247677416645567	0.9748404255319149	0.011260927482893616	0.9494582528253838	0.010640954691459497
multiclass_domain	readability	blog_authorship_corpus	gemma2_9b	0.449794077661696	0.031361941892518286	0.3656460953759841	0.09507824857357017	0.3960552379416831	0.06517888789725539
